log_stamp,IMUData.z,IMUData.seq
1183.762802,,
1183.782861,,
1183.802932,,
1183.822981,,
1183.843071,,
1183.863144,,
1183.883232,,
1183.903274,,
1183.923373,,
1183.943449,,
1183.963564,,
1183.983687,,
1184.003757,,
1184.02382,,
1184.0439,,
1184.063976,,
1184.084066,,
1184.104211,,
1184.124294,,
1184.144333,,
1184.164524,,
1184.184581,,
1184.204682,,
1184.224756,,
1184.24491,,
1184.265022,,
1184.285142,,
1184.305211,,
1184.325268,,
1184.345347,,
1184.365479,,
1184.385694,,
1184.405765,,
1184.425846,,
1184.445939,,
1184.466078,,
1184.486166,,
1184.506323,,
1184.526493,,
1184.54665,,
1184.566729,,
1184.587011,,
1184.607137,,
1184.627193,,
1184.647278,,
1184.667369,,
1184.687449,,
1184.707599,,
1184.727691,,
1184.747835,,
1184.767909,,
1184.788074,,
1184.808155,,
1184.828306,,
1184.848381,,
1184.868464,,
1184.888589,,
1184.908766,,
1184.928752,,
1184.948827,,
1184.968876,,
1184.988947,,
1185.009038,,
1185.029138,,
1185.049279,,
1185.069349,,
1185.089443,,
1185.109569,,
1185.129764,,
1185.149932,,
1185.170087,,
1185.190162,,
1185.210214,,
1185.230282,,
1185.250454,,
1185.290609,,
1185.310668,,
1185.330838,,
1185.350921,,
1185.370985,,
1185.391155,,
1185.411199,,
1185.431294,,
1185.451344,,
1185.471442,,
1185.491602,,
1185.511654,,
1185.531747,,
1185.551903,,
1185.571956,,
1185.592138,,
1185.612298,,
1185.632509,,
1185.652633,,
1185.672734,,
1185.692874,,
1185.712977,,
1185.733119,,
1185.753192,,
1185.77336,,
1185.793427,,
1185.813505,,
1185.83361,,
1185.853747,,
1185.873808,,
1185.89389,,
1185.914074,,
1185.93421,,
1185.954286,,
1185.974378,,
1185.994471,,
1186.014625,,
1186.034775,,
1186.054833,,
1186.074895,,
1186.094976,,
1186.115075,,
1186.135127,,
1186.155174,,
1186.175268,,
1186.195374,,
1186.215522,,
1186.235763,,
1186.255826,,
1186.275909,,
1186.295997,,
1244.334434,0.8757326007326007,
1244.354532,0.8756715506715507,
1244.374693,0.8755799755799756,
1244.394774,0.8753052503052503,
1244.414835,0.8750610500610501,
1244.43499,0.8749389499389499,
1244.455062,0.8747557997557998,
1244.475242,0.8746031746031746,
1244.49529,0.8744505494505495,
1244.515469,0.8742063492063492,
1244.535476,0.8743589743589744,
1244.555616,0.8744810744810745,
1244.575716,0.8744200244200244,
1244.595879,0.8744200244200244,
1244.615935,0.8746642246642247,
1244.636015,0.8748473748473748,
1244.656178,0.8749389499389499,
1244.676263,0.8747252747252747,
1244.696421,0.8745115995115995,
1244.716477,0.8744505494505495,
1244.736672,0.8743894993894994,
1244.756826,0.8740842490842491,
1244.776891,0.8736263736263736,
1244.797098,0.8732295482295482,
1244.81724,0.872985347985348,
1244.837302,0.872954822954823,
1244.857345,0.8728937728937729,
1244.877454,0.8727411477411477,
1244.897533,0.8725579975579976,
1244.917689,0.8727106227106227,
1244.937764,0.8729242979242979,
1244.957957,0.8730769230769231,
1244.978134,0.8731379731379731,
1244.998262,0.8731379731379731,
1245.018437,0.8731379731379731,
1245.038598,0.8732295482295482,
1245.058666,0.8733211233211233,
1245.078764,0.8734432234432234,
1245.098924,0.8736568986568987,
1245.119005,0.8738705738705739,
1245.139236,0.8738400488400488,
1245.159235,0.8738095238095238,
1245.20147,0.8743894993894994,
1245.221556,0.8745726495726496,
1245.241703,0.8745726495726496,
1245.261778,0.8748473748473748,
1245.281852,0.8757020757020757,
1245.302012,0.8762820512820513,
1245.322078,0.8763431013431013,
1245.342166,0.8765262515262515,
1245.362299,0.8769230769230769,
1245.382385,0.8773504273504273,
1245.402466,0.8777167277167277,
1245.422632,0.8778388278388278,
1245.442799,0.877991452991453,
1245.462916,0.8781746031746032,
1245.483017,0.8782661782661783,
1245.503095,0.8781746031746032,
1245.523194,0.8782051282051282,
1245.543392,0.8783882783882784,
1245.563501,0.8784798534798535,
1245.583578,0.8784493284493284,
1245.603651,0.8781746031746032,
1245.623816,0.8781135531135531,
1245.64388,0.8781440781440781,
1245.664011,0.8780830280830281,
1245.684131,0.8777777777777778,
1245.704191,0.8771978021978022,
1245.724299,0.8769230769230769,
1245.744447,0.8768925518925519,
1245.764541,0.8767399267399267,
1245.784675,0.8761904761904762,
1245.804767,0.8758547008547009,
1245.82483,0.8756715506715507,
1245.844996,0.8754273504273504,
1245.865055,0.8753663003663004,
1245.885132,0.8752442002442002,
1245.905209,0.8750610500610501,
1245.925283,0.8750915750915751,
1245.945495,0.875030525030525,
1245.965603,0.8749084249084249,
1245.985688,0.8747252747252747,
1246.005839,0.8746947496947497,
1246.025924,0.8745726495726496,
1246.046007,0.8743894993894994,
1246.066158,0.8743589743589744,
1246.086232,0.8743284493284493,
1246.106373,0.8743284493284493,
1246.126473,0.8741452991452991,
1246.146545,0.8739316239316239,
1246.166608,0.8737484737484738,
1246.186699,0.8735958485958486,
1246.206774,0.8734126984126984,
1246.226857,0.8732905982905983,
1246.246967,0.8732600732600733,
1246.267064,0.8731684981684982,
1246.287135,0.873015873015873,
1246.307348,0.873046398046398,
1246.327479,0.8730769230769231,
1246.347535,0.873046398046398,
1246.369635,0.8727716727716728,
1246.389691,0.8725885225885226,
1246.409752,0.8726495726495727,
1246.4299,0.8727716727716728,
1246.45012,0.8731074481074481,
1246.47026,0.8732295482295482,
1246.490292,0.8732600732600733,
1246.510504,0.8735347985347985,
1246.530696,0.8740537240537241,
1246.550828,0.8744810744810745,
1246.570914,0.8747557997557998,
1246.590968,0.8751221001221001,
1246.611148,0.8754578754578755,
1246.631227,0.8754884004884005,
1246.651285,0.8757631257631258,
1246.671359,0.8761294261294261,
1246.69147,0.8762820512820513,
1246.711656,0.8764652014652015,
1246.731773,0.8766178266178266,
1246.751841,0.8767094017094017,
1246.771906,0.8771062271062271,
1246.791969,0.8777167277167277,
1246.812049,0.8781440781440781,
1246.832104,0.8781746031746032,
1246.85225,0.8783272283272283,
1246.872373,0.8784798534798535,
1246.892513,0.8785409035409035,
1246.912594,0.8785714285714286,
1246.932669,0.8785409035409035,
1246.952835,0.8785409035409035,
1246.972988,0.8784493284493284,
1246.993072,0.8781135531135531,
1247.013131,0.8779304029304029,
1247.033202,0.8778388278388278,
1247.053296,0.8778693528693529,
1247.073441,0.8776862026862027,
1247.093524,0.8773809523809524,
1247.11367,0.8771367521367521,
1247.133757,0.877045177045177,
1247.153923,0.8771978021978022,
1247.176,0.8772893772893773,
1247.196143,0.877014652014652,
1247.216224,0.8765567765567766,
1247.236289,0.8762820512820513,
1247.256351,0.8761599511599512,
1247.276463,0.8759462759462759,
1423.707968,0.895909645909646,5163
1423.728058,0.895909645909646,5164
1423.74812,0.895909645909646,5165
1423.768171,0.895909645909646,5166
1423.788278,0.895909645909646,5167
1423.808511,0.895909645909646,5168
1423.828579,0.895909645909646,5169
1423.848632,0.8958791208791209,5170
1423.868727,0.8958791208791209,5171
1423.888793,0.895909645909646,5172
1423.908882,0.895909645909646,5173
1423.929036,0.895909645909646,5174
1423.949097,0.895909645909646,5175
1423.969151,0.8958791208791209,5176
1423.989244,0.8958791208791209,5177
1424.009396,0.8958791208791209,5178
1424.029463,0.8958791208791209,5179
1424.049637,0.8958791208791209,5180
